year,geo_name,geo,birthplace_name,birthplace,num_over5,num_over5_moe,num_over5_rca
2015,"Massachusetts","04000US25","Chile","363",2960,656.355,1.36749
2015,"Massachusetts","04000US25","Colombia","364",21959,2115.46,1.44269
2015,"Massachusetts","04000US25","Ecuador","365",6534,1289.23,0.697207
2015,"Massachusetts","04000US25","Guyana","368",2532,679.541,0.438359
2015,"Massachusetts","04000US25","Paraguay","369",252,180.957,0.600947
2015,"Massachusetts","04000US25","Peru","370",7106,1069.36,0.745004
2015,"Massachusetts","04000US25","Uruguay","372",2281,682.016,2.20467
2015,"Massachusetts","04000US25","Venezuela","373",4227,631.387,0.853935
2015,"Massachusetts","04000US25","South America","374",383,232.589,1.12768
2015,"Massachusetts","04000US25","Americas- Not Specified","399",867,376.55,2.36473
2015,"Massachusetts","04000US25","Algeria","400",1218,420.338,2.78121
2015,"Massachusetts","04000US25","Cameroon","407",2245,734.031,2.21049
2015,"Massachusetts","04000US25","Cape Verde","408",27656,2537.34,32.3361
2015,"Massachusetts","04000US25","Congo","412",228,147.584,0.765406
2015,"Massachusetts","04000US25","Egypt","414",4755,866.24,1.23905
2015,"Massachusetts","04000US25","Ethiopia","416",4618,770.41,1.09288
2015,"Massachusetts","04000US25","Eritrea","417",914,326.68,1.23035
2015,"Massachusetts","04000US25","Ghana","421",7938,869.459,2.46617
2015,"Massachusetts","04000US25","Guinea","423",529,329.771,1.79014
2015,"Massachusetts","04000US25","Kenya","427",8863,1358.14,3.36782
2015,"Massachusetts","04000US25","Liberia","429",2474,584.566,1.44068
2015,"Massachusetts","04000US25","Libya","430",366,226.538,1.53549
2015,"Massachusetts","04000US25","Morocco","436",7391,1272.93,4.60344
2015,"Massachusetts","04000US25","Nigeria","440",6204,978.053,1.0808
2015,"Massachusetts","04000US25","Senegal","444",1019,301.356,1.96004
2015,"Massachusetts","04000US25","Sierra Leone","447",1132,521.708,1.37405
2015,"Massachusetts","04000US25","Somalia","448",2757,758.888,1.51846
2015,"Massachusetts","04000US25","South Africa","449",2642,483.686,1.24839
2015,"Massachusetts","04000US25","Sudan","451",834,377.277,0.948046
2015,"Massachusetts","04000US25","Tanzania","453",1200,487.482,2.50898
2015,"Massachusetts","04000US25","Togo","454",316,197.779,0.938503
2015,"Massachusetts","04000US25","Uganda","457",3307,928.372,6.70542
2015,"Massachusetts","04000US25","Democratic Republic of Congo (Zaire)","459",650,309.406,1.4269
2015,"Massachusetts","04000US25","Zambia","460",189,146.271,0.776412
2015,"Massachusetts","04000US25","Zimbabwe","461",837,331.844,1.90908
2015,"Massachusetts","04000US25","Africa","462",2664,634.779,1.08878
2015,"Massachusetts","04000US25","Eastern Africa- Not Specified","463",997,425.648,1.31528
2015,"Massachusetts","04000US25","Northern Africa- Not Specified","464",555,255.012,1.91413
2015,"Massachusetts","04000US25","Western Africa- Not Specified","467",1304,551.701,1.20623
2015,"Massachusetts","04000US25","Other Africa- Not Specified","468",1326,360.985,2.03151
2015,"Massachusetts","04000US25","Australia","501",2612,453.108,1.27106
2015,"Massachusetts","04000US25","Fiji","508",100,75.2235,0.109635
2015,"Massachusetts","04000US25","Marshall Islands","511",21,32.6917,0.0657417
2015,"Massachusetts","04000US25","Micronesia","512",29,34.2085,0.0530314
2015,"Massachusetts","04000US25","New Zealand","515",795,287.908,1.07833
2015,"Massachusetts","04000US25","Tonga","523",38,47.8551,0.100742
2015,"Massachusetts","04000US25","Samoa","527",69,72.2865,0.252258
2015,"Massachusetts","04000US25","Other US Island Areas, Oceania, Not Specified or at Sea","554",189,89.8711,0.400191
2015,"Massachusetts","04000US25","US Virgin Islands","78",1572,514.548,1.1582
