year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2013,"Toledo City (East) PUMA, OH","79500US3900500",49022.0,139917.0,49022.0,2072.0,139917.0,1590.0
2013,"Grand Rapids City Area PUMA, MI","79500US2601002",48989.0,183758.0,48989.0,2232.0,183758.0,749.0
2014,"Richmond County PUMA, GA","79500US1304000",48961.0,192808.0,48961.0,2224.0,192808.0,791.0
2014,"Providence City PUMA, RI","79500US4400103",48914.0,164833.0,48914.0,2457.0,164833.0,704.0
2015,"Tallahassee City (Central) PUMA, FL","79500US1207301",48897.0,130552.0,48897.0,1970.0,130552.0,1540.0
2013,"Starkville, Columbus & West Point Cities PUMA, MS","79500US2800600",48821.0,170317.0,48821.0,2188.0,170317.0,664.0
2014,"Grand Rapids City Area PUMA, MI","79500US2601002",48763.0,185000.0,48763.0,1936.0,185000.0,736.0
2014,"Memphis City (Central Riverside) PUMA, TN","79500US4703201",48740.0,134789.0,48740.0,2241.0,134789.0,2244.0
2014,"Hidalgo County (East)--Alamo & Donna Cities PUMA","79500US4806802",48735.0,110455.0,48735.0,4389.0,110455.0,3313.0
2013,"Bakersfield City (Northeast) PUMA, CA","79500US0602903",48734.0,154499.0,48734.0,2641.0,154499.0,2702.0
2013,"East New York & Starrett City PUMA, NY","79500US3604008",48622.0,151418.0,48622.0,2683.0,151418.0,2787.0
2014,"Starkville, Columbus & West Point Cities PUMA, MS","79500US2800600",48522.0,169795.0,48522.0,2094.0,169795.0,658.0
2015,"Richmond County PUMA, GA","79500US1304000",48498.0,192680.0,48498.0,2658.0,192680.0,654.0
2014,"Southwest Region PUMA, MS","79500US2801600",48493.0,176299.0,48493.0,2148.0,176299.0,544.0
2015,"Cleveland City (Central) PUMA","79500US3900906",48435.0,121576.0,48435.0,2174.0,121576.0,1669.0
2013,"Richmond County PUMA, GA","79500US1304000",48412.0,193120.0,48412.0,2333.0,193120.0,559.0
2014,"East New York & Starrett City PUMA, NY","79500US3604008",48393.0,150338.0,48393.0,2298.0,150338.0,2560.0
2014,"Indio, Coachella, Blythe & La Quinta (East) Cities PUMA, CA","79500US0606501",48241.0,175694.0,48241.0,3071.0,175694.0,2233.0
2015,"Grand Rapids City Area PUMA, MI","79500US2601002",48120.0,187141.0,48120.0,2001.0,187141.0,725.0
2015,"District of Columbia (East) PUMA, DC","79500US1100104",48119.0,146851.0,48119.0,2693.0,146851.0,2522.0
2015,"Hidalgo County (East)--Alamo & Donna Cities PUMA","79500US4806802",48111.0,113313.0,48111.0,3916.0,113313.0,2814.0
2014,"San Juan Municipio (Este) PUMA","79500US7200805",48096.0,99064.0,48096.0,1942.0,99064.0,2550.0
2015,"Providence City PUMA, RI","79500US4400103",48050.0,165268.0,48050.0,2384.0,165268.0,505.0
2013,"Tallahassee City (Central) PUMA, FL","79500US1207301",48043.0,125978.0,48043.0,2042.0,125978.0,1922.0
2013,"Austin, Belmont Cragin & Montclare PUMA, IL","79500US1703521",47948.0,186913.0,47948.0,2815.0,186913.0,3583.0
2015,"Austin, Belmont Cragin & Montclare PUMA, IL","79500US1703521",47886.0,188137.0,47886.0,2738.0,188137.0,3331.0
2013,"Philadelphia City (Southwest) PUMA, PA","79500US4203210",47846.0,142986.0,47846.0,3082.0,142986.0,3142.0
2015,"Phoenix City--Maryvale (East) PUMA","79500US0400122",47765.0,103707.0,47765.0,3088.0,103707.0,2774.0
2015,"Harlingen & San Benito Cities PUMA, TX","79500US4806702",47754.0,145049.0,47754.0,2872.0,145049.0,1686.0
2014,"Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties PUMA, SC","79500US4501300",47739.0,190683.0,47739.0,2750.0,190683.0,820.0
2014,"Phoenix City--Maryvale (East) PUMA","79500US0400122",47709.0,105097.0,47709.0,2982.0,105097.0,3133.0
2015,"San Juan Municipio (Este) PUMA","79500US7200805",47646.0,95865.0,47646.0,1774.0,95865.0,2387.0
2014,"Harlingen & San Benito Cities PUMA, TX","79500US4806702",47634.0,145137.0,47634.0,2821.0,145137.0,2131.0
2013,"Providence City PUMA, RI","79500US4400103",47500.0,163917.0,47500.0,2421.0,163917.0,535.0
2015,"Starkville, Columbus & West Point Cities PUMA, MS","79500US2800600",47489.0,169274.0,47489.0,2216.0,169274.0,516.0
2013,"Harlingen & San Benito Cities PUMA, TX","79500US4806702",47436.0,143923.0,47436.0,3154.0,143923.0,2322.0
2013,"Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties PUMA, SC","79500US4501300",47431.0,191630.0,47431.0,2210.0,191630.0,706.0
2013,"Hidalgo County (East)--Alamo & Donna Cities PUMA","79500US4806802",47391.0,109743.0,47391.0,3667.0,109743.0,2840.0
2013,"Phoenix City--Maryvale (East) PUMA","79500US0400122",47193.0,107118.0,47193.0,2389.0,107118.0,2566.0
