year,geo_name,geo,income_inequality
2016,"Westchester County, NY",05000US36119,5.776
2015,Perry County,05000US21193,5.775
2017,Dillon County,05000US45033,5.775
2016,"Wayne County, MI",05000US26163,5.774
2017,Stewart County,05000US13259,5.771
2017,Floyd County,05000US21071,5.771
2016,Bullock County,05000US01011,5.767
2016,Perry County,05000US21193,5.766
2015,Early County,05000US13099,5.766
2016,"Champaign County, IL",05000US17019,5.765
2016,Hardeman County,05000US48197,5.765
2017,LaSalle Parish,05000US22059,5.764
2016,Reeves County,05000US48389,5.763
2017,Irwin County,05000US13155,5.763
2015,Golden Valley County,05000US38033,5.762
2015,"Fairfield County, CT",05000US09001,5.759
2016,Marion County,05000US48315,5.758
2017,Scioto County,05000US39145,5.757
2016,Terrell County,05000US13273,5.757
2015,Elliott County,05000US21063,5.755
2015,Nacogdoches County,05000US48347,5.755
2016,Jackson County,05000US21109,5.754
2017,Halifax County,05000US37083,5.753
2017,Jackson Parish,05000US22049,5.752
2015,Kittitas County,05000US53037,5.751
2016,Thomas County,05000US13275,5.748
2016,Phillips County,05000US05107,5.748
2017,Adams County,05000US28001,5.746
2017,Pointe Coupee Parish,05000US22077,5.746
2017,Lamar County,05000US13171,5.746
2016,Adams County,05000US28001,5.744
2016,Holmes County,05000US28051,5.743
2015,Grenada County,05000US28043,5.74
2016,"Hampden County, MA",05000US25013,5.739
2015,Lincoln County,05000US05079,5.739
2016,Hertford County,05000US37091,5.738
2015,Morehouse Parish,05000US22067,5.738
2016,Sumter County,05000US13261,5.738
2015,Pulaski County,05000US21199,5.736
2015,Choctaw County,05000US01023,5.731
2016,Bacon County,05000US13005,5.729
2017,Madison Parish,05000US22065,5.728
2015,"Wayne County, MI",05000US26163,5.723
2016,Jackson Parish,05000US22049,5.723
2015,Dooly County,05000US13093,5.723
2015,Webster County,05000US13307,5.722
2015,Bolivar County,05000US28011,5.722
2017,Choctaw County,05000US40023,5.722
2015,"Tompkins County, NY",05000US36109,5.722
2016,Vermilion Parish,05000US22113,5.715
2015,Conecuh County,05000US01035,5.715
2017,Woodruff County,05000US05147,5.715
2016,Mississippi County,05000US05093,5.715
2015,Peach County,05000US13225,5.714
2015,"Lafayette Parish, LA",05000US22055,5.712
2017,Wayne County,05000US28153,5.711
2016,Schley County,05000US13249,5.711
2016,Wayne County,05000US28153,5.71
2016,Corson County,05000US46031,5.709
2015,Dodge County,05000US13091,5.707
2016,Alexander County,05000US17003,5.706
2016,Copiah County,05000US28029,5.705
2015,Treutlen County,05000US13283,5.703
2017,Norton city,05000US51720,5.703
2016,Houston County,05000US48225,5.7
2015,Scotland County,05000US37165,5.7
2015,Lowndes County,05000US01085,5.697
2015,Mississippi County,05000US05093,5.697
2016,Grant County,05000US38037,5.697
2016,Lanier County,05000US13173,5.696
2016,Union Parish,05000US22111,5.695
2017,Lexington city,05000US51678,5.694
2015,Union Parish,05000US22111,5.692
2017,De Baca County,05000US35011,5.692
2015,"Hampden County, MA",05000US25013,5.69
2016,"Boone County, MO",05000US29019,5.689
2015,"Hamilton County, OH",05000US39061,5.689
2017,"Cameron County, TX",05000US48061,5.688
2017,Sherman County,05000US41055,5.687
2015,Clarke County,05000US28023,5.687
2017,Elliott County,05000US21063,5.686
2016,Catahoula Parish,05000US22025,5.686
2017,Copiah County,05000US28029,5.681
2017,Red River Parish,05000US22081,5.68
2017,Bamberg County,05000US45009,5.678
2016,Nacogdoches County,05000US48347,5.678
2017,Decatur County,05000US47039,5.676
2016,Perkins County,05000US46105,5.676
2015,Atkinson County,05000US13003,5.676
2016,"Passaic County, NJ",05000US34031,5.675
2017,Claiborne County,05000US28021,5.674
2017,Brooks County,05000US48047,5.674
2016,"Providence County, RI",05000US44007,5.673
2015,Kleberg County,05000US48273,5.672
2017,Calhoun County,05000US13037,5.671
2016,Lowndes County,05000US28087,5.67
2017,Mississippi County,05000US05093,5.668
2017,"Webb County, TX",05000US48479,5.667
2017,Schley County,05000US13249,5.666
2017,"Leon County, FL",05000US12073,5.666
2015,Orangeburg County,05000US45075,5.665
2015,Floyd County,05000US21071,5.664
2016,Madison Parish,05000US22065,5.664
2016,Boise County,05000US16015,5.664
2015,Covington County,05000US28031,5.664
2016,Sierra County,05000US06091,5.661
2016,Glacier County,05000US30035,5.66
2015,Sumter County,05000US01119,5.659
2016,Alamosa County,05000US08003,5.659
2015,Crenshaw County,05000US01041,5.659
2016,Conejos County,05000US08021,5.659
2015,West Feliciana Parish,05000US22125,5.659
2017,Hale County,05000US01065,5.659
2017,Edgefield County,05000US45037,5.658
2015,Foster County,05000US38031,5.657
2017,"Hampden County, MA",05000US25013,5.657
2016,Woods County,05000US40151,5.655
2015,Oldham County,05000US48359,5.653
2015,Wibaux County,05000US30109,5.653
2017,Haywood County,05000US47075,5.652
2017,St. Helena Parish,05000US22091,5.651
2016,Lawrence County,05000US21127,5.65
2017,Jefferson County,05000US13163,5.648
2017,Boise County,05000US16015,5.647
2016,Jenkins County,05000US13165,5.646
2017,Jefferson Davis County,05000US28065,5.642
2015,Johnson County,05000US13167,5.641
2016,"Hidalgo County, TX",05000US48215,5.64
2015,Rowan County,05000US21205,5.638
2015,"Providence County, RI",05000US44007,5.638
2016,"Marin County, CA",05000US06041,5.638
2017,"Providence County, RI",05000US44007,5.637
2015,"Champaign County, IL",05000US17019,5.637
2016,Forrest County,05000US28035,5.636
2016,Floyd County,05000US21071,5.636
2015,Mitchell County,05000US13205,5.636
2017,Conecuh County,05000US01035,5.636
2015,"Hidalgo County, TX",05000US48215,5.636
2017,Golden Valley County,05000US38033,5.635
2015,Yukon-Koyukuk Census Area,05000US02290,5.635
2015,Hardin County,05000US17069,5.635
2015,Dewey County,05000US46041,5.634
2015,Grady County,05000US13131,5.634
2015,Screven County,05000US13251,5.633
2017,Story County,05000US19169,5.633
2015,McPherson County,05000US31117,5.632
2017,Calhoun County,05000US45017,5.631
2017,Perry County,05000US01105,5.629
2017,Peach County,05000US13225,5.629
2015,Winn Parish,05000US22127,5.629
2015,"Passaic County, NJ",05000US34031,5.629
2017,"Cuyahoga County, OH",05000US39035,5.629
2016,Franklin County,05000US12037,5.628
2016,Screven County,05000US13251,5.627
2016,Carter County,05000US29035,5.627
2016,LaSalle Parish,05000US22059,5.627
2015,Desha County,05000US05041,5.625
2015,Fairfield County,05000US45039,5.624
2015,"Imperial County, CA",05000US06025,5.624
2017,Ohio County,05000US54069,5.624
2015,Leake County,05000US28079,5.624
2017,Perry County,05000US21193,5.623
2017,"Marin County, CA",05000US06041,5.621
2017,"Hidalgo County, TX",05000US48215,5.621
2017,Webster County,05000US28155,5.62
2015,Harrison County,05000US21097,5.618
2015,Green County,05000US21087,5.617
2017,Northampton County,05000US37131,5.617
2015,Monroe County,05000US05095,5.616
2017,Desha County,05000US05041,5.615
2016,Isabella County,05000US26073,5.615
2016,Zapata County,05000US48505,5.615
2016,Butler County,05000US21031,5.614
2017,"Miami-Dade County, FL",05000US12086,5.613
2017,Magoffin County,05000US21153,5.611
2017,Hardeman County,05000US48197,5.611
2016,Adair County,05000US29001,5.609
2016,"Miami-Dade County, FL",05000US12086,5.609
2016,Valdez-Cordova Census Area,05000US02261,5.608
2015,Barren County,05000US21009,5.606
2015,Warren County,05000US28149,5.606
2016,Hamilton County,05000US12047,5.606
2017,Crenshaw County,05000US01041,5.605
2016,"Navajo County, AZ",05000US04017,5.605
2016,Hale County,05000US01065,5.6
2016,Sabine Parish,05000US22085,5.597
2017,Warren County,05000US28149,5.594
2015,Alpine County,05000US06003,5.593
